label,count
rubthr1,499
banana,498
soulap1,497
fepowl,497
houspa,496
osprey,495
coffal1,495
socfly1,494
compau,493
yeofly1,493
bncfly,492
bobfly1,492
whtdov,491
bbwduc,491
trsowl,491
sobtyr1,490
roahaw,489
strcuc1,485
trokin,483
grekis,482
saffin,479
greant1,475
greyel,475
brnowl,474
barant1,454
sofspi1,437
gycwor1,436
squcuc1,432
oliwoo1,424
limpki,405
compot1,368
grasal3,362
linwoo1,356
swtman1,355
eulfly1,355
pirfly1,345
baffal1,337
pabspi1,316
rufhor2,315
smbani,305
yebela1,297
varant1,291
saytan1,278
chbmoc1,270
crbthr1,269
rutjac1,265
masgna1,263
rufnig1,256
fusfly1,248
rumfly1,247
paltan1,247
chobla1,244
yecpar,243
whbwar2,243
pvttyr1,241
spispi1,239
burowl,238
rinkin1,235
batbel1,229
sibtan2,226
greela,224
shcfly1,223
stbwoo2,219
thlwre1,213
redjun,208
bufpar,206
spbant3,205
flawar1,204
undtin1,204
grfdov1,195
orwpar,195
bkcdon,189
epaori4,188
y00678,188
plcjay1,186
strowl1,184
sobcac1,183
rebscy1,182
244024,181
bunibi1,174
bucmot4,169
blheag1,169
baymac,167
strher2,164
scadov1,164
shtnig1,163
picpig2,162
souant1,159
rufgna3,159
gretho2,153
whiwoo1,150
phecuc1,149
toctou1,148
schpar1,145
larela1,144
tattin1,138
wesfie1,136
relser1,135
watjac1,134
wfwduc1,133
astcra1,128
greani1,127
recfin1,126
bucpar,124
brcmar1,123
camfli1,122
lesela1,121
plasla1,120
chvcon1,120
gilhum1,117
giwrai1,111
glteme1,109
bkhpar,109
litnig1,109
ashgre1,106
mabpar,105
whnjay1,105
litcuc2,104
souscr1,103
scther1,103
ragmac1,102
horscr1,102
shshaw,101
rivwar1,100
chacha1,99
ruftof1,98
ruftho1,98
swthum1,98
smbtin1,94
grhtan1,94
ruther1,86
whwpic1,83
fotfly,83
yehcar1,82
crebec1,81
orbtro3,81
fabwre1,79
purjay1,77
whbant2,75
magtan2,74
grepot1,72
blttit1,71
sabspa1,69
palhor3,69
pluibi1,68
ficman1,66
hyamac1,65
22973,63
magant1,63
whlspi1,59
blchaw1,58
rufcas2,58
bcwfin2,56
bafcur1,51
yecmac,46
65377,46
24279,46
47144,43
cibspi1,41
platyr1,36
22956,32
lesgrf1,30
326272,28
rufcac2,28
yebcar,27
25092,26
23158,25
65380,23
dwatin1,23
41970,21
24285,19
nacnig1,18
555146,18
ocecra1,15
67107,14
43435,14
1176823,12
1161364,11
24287,11
22983,10
74113,10
555145,9
22967,8
760266,7
67252,6
22930,6
22985,6
22961,6
23154,5
1595929,5
66971,5
738183,5
23176,4
64898,3
74580,3
555123,3
476521,3
25214,3
sptnig1,3
70711,2
24321,2
209233,2
516975,1
116570,1
23724,1
23150,1
